Card#,Title,Artist,Year,URL
1,D'yers Mak'er,Led Zeppelin,1973,https://www.youtube.com/watch?v=SBmBhZB0x3k
2,Don't Forget Me (When I'm Gone),Glass Tiger,1986,https://www.youtube.com/watch?v=JG2IFsz_n5c
3,We Are Family,Sister Sledge,1979,https://www.youtube.com/watch?v=uyGY2NfYpeE
4,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Brian Hyland,1960,https://www.youtube.com/watch?v=ICkWjdQuK7Q
5,Cheap Thrills,Sia,2015,https://www.youtube.com/watch?v=31crA53Dgu0
6,Get Lucky,Daft Punk (feat. Pharrell Williams & Nile Rodgers),2013,https://www.youtube.com/watch?v=5NV6Rdv1a3I
7,Fallin',Alicia Keys,2001,https://www.youtube.com/watch?v=Urdlvw0SSEc
8,Girl You Know It's True,Milli Vanilli,1989,https://www.youtube.com/watch?v=RdSmokR0Enk
9,New Orleans Is Sinking,The Tragically Hip,1989,https://www.youtube.com/watch?v=LAZUsCONjIQ
10,Waterloo,ABBA,1974,https://www.youtube.com/watch?v=Sj_9CiNkkn4
11,Piece Of My Heart,Erma Franklin,1967,https://www.youtube.com/watch?v=i_6gptd01mY
12,Sweet Child O'Mine,Guns N' Roses,1987,https://www.youtube.com/watch?v=1w7OgIMMRc4
13,Rock You Like a Hurricane,Scorpions,1984,https://www.youtube.com/watch?v=6yP1tcy9a10
14,Every Breath You Take,The Police,1983,https://www.youtube.com/watch?v=OMOGaugKpzs
15,Ice Ice Baby,Vanilla Ice,1990,https://www.youtube.com/watch?v=rog8ou-ZepE
16,Call On Me,Eric Prydz,2004,https://www.youtube.com/watch?v=L_fCqg92qks
17,White Wedding,Billy Idol,1982,https://www.youtube.com/watch?v=DP8A3ZfwYj0
18,With Or Without You,U2,1987,https://www.youtube.com/watch?v=ujNeHIo7oTE
19,Main Girl,Charlotte Cardin,2017,https://www.youtube.com/watch?v=8Xef2NPzGp0
20,Smoke Gets In Your Eyes,The Platters,1958,https://www.youtube.com/watch?v=vfBboBz3yoc
21,Feel It Still,Portugal. The Man,2017,https://www.youtube.com/watch?v=pBkHHoOIIn8
22,Couting Stars,OneRepublic,2013,https://www.youtube.com/watch?v=hT_nvWreIhg
23,Hit The Road Jack,Ray Charles,1961,https://www.youtube.com/watch?v=SrnWp5O0DEs
24,The Lazy Song,Bruno Mars,2011,https://www.youtube.com/watch?v=fLexgOxsZu0
25,Informer,Snow,1992,https://www.youtube.com/watch?v=TSffz_bl6zo
26,Cotton Eye Joe,Rednex,1994,
27,Scars To Your Beautiful,Alessia Cara,2016,
28,Upside Down,Diana Ross,1980,
29,A Thousand Miles, Vanessa Carlton,2002,
30,"Bad, Bad Leroy Brown",Jim Croce,1973,
31,No One,Alicia Keys,2007,
32,I Got You (I Feel Good),James Brown,1965,
33,Barracuda,Heart,1977,
34,School's Out,Alice Cooper,1972,
35,"Sugar, Sugar",The Archies, 1969,
36,Le Freak,Chic,1978,
37,(I've had) The Time Of My Life,Bill Medley & Jennifer Warnes,1987,
38,Born To Be Alive,Patrick Hernandez,1978,
39,Heaven,Bryan Adams,1984,
40,Dynamite,BTS,2020,
41,Smells Like Teen Spirit,Nirvana,1991,
42,Never Gonna Give You Up,Rick Astley,1987,
43,Knock On Wood,Amii Stewart,1979,
44,My Heart Will Go On,Céline Dion,1997,
45,These Boots Are Made For Walkin',Nancy Sinatra,1965,
46,Hey Ya!,Outkast,2003,
47,In The Summertime,Mungo Jerry,1970,
48,Follow You Down,Gin Blossoms,1996,
49,Manic Monday,The Bangles,1986,
50,Get Busy,Sean Paul,2003,
51,Guajira Guantanamera,Joseíto Fernández,1929,
52,Don't Call Me Up,Mabel,2019,
53,"Hey, Soul Sister",Train,2009,
54,I Love Rock 'N Roll,The Arrows,1975,
55,I'm A Believer,The Monkees,1966,
56,Somebody Like You,Keith Urban,2002,
57,The Rhythm Of The Night,Corona,1993,
58,Royals,Lorde,2012,
59,Ironic,Alanis Morissette,1995,
60,Wrecking Ball,Miley Cyrus,2013,
61,Mony Mony,Tommy James And The Shondells,1968,
62,I Can't Help Myself (Sugar Pier, Honey Bunch),1965,
63,Turn the Beat Around,Vicki Sue Robinson,1976,
64,You Sexy Thing,Hot Chocolate,1975,
65,All Of Me,John Legend,2013,
66,Poker Face,Lady Gaga,2008,
67,Tubthumping (I Get Knocked Down),Chumbawamba,1997,
68,Everybody Knows,Leonard Cohen,1988,
69,Return Of The Mack,Mark Morrisson,1996,
70,Rich Girl,Hall & Oates,1977,
71,Uprising,Muse,2009,
72,Haven't Met You Yet,Michael Bublé,2009,
73,Hotel California,Eagles,1976,
74,Johnny B. Goode,Chuck Berry,1958,
75,Maneater,Dary Hall & John Oates,1982,
76,La Donna È Mobile (Rigoletto),Enrico Caruso,1908,
77,Happier,Marshmello and Bastille,2018,
78,Love Shack,The B-52's,1989,
79,Don't Leave Me This Way,Thelma Houston,1976,
80,When I Need You,Leo Sayer,1977,
81,Sweet Caroline,Neil Diamond,1969,
82,Feel,Robbie Williams,2002,
83,In The Mood,Glenn Miller,1939,
84,Dancing in The Dark,Bruce Springsteen,1984,
85,Without You,Avicii (feat. Sandro Cavazza),2017,
86,Yeah!,Usher (feat. Lil Jon & Ludacris),2004,
87,Mr Vain,Culture Beat,1993,
88,Uptown Funk,"Mark Ronson, Bruno Mars",2014,
89,Joyride,Roxette,1991,
90,(We're Gonna) Rock Around The Clock,Bill Haley & His Comets,1954,
91,Funkytown,Lipps Inc.,1980,
92,Right Here Waiting,Richard Marx,1989,
93,Smalltown Boy,Bronski Beat,1984,
94,White Room,Cream,1968,
95,Buffalo Stance,Neneh Cherry,1988,
96,I Want You,Savage Garden,1996,
97,Under The Bridge,Red Hot Chili Peppers,1991,
98,Superheroes,The Script,2014,
99,Wonderwall,Oasis,1995,
100,You Can't Hurry Love,The Supremes,1966,
101,Rehab,Amy Winehouse,2006,
102,Africa,TOTO,1982,
103,How You Remind Me,Nickelback,2001,
104,If I Could Turn Back Time,Cher,1989,
105,"See You Later, Alligator",Bill Haley & His Comets,1956,
106,Stayin' Alive,Bee Gees,1977,
107,Gangsta's Paradise,Coolio (feat. L.V.),1995,
108,School,Supertramp,1974,
109,Walk Of Life,Dire Straits,1985,
110,Jailhouse Rock,Elvis Presley,1957,
111,It's In His Kiss (The Shoop Shoop Song),Betty Everett,1964,
112,Wasted On You,Morgan Wallen,2022,
113,7 Years,Lukas Graham,2015,
114,Day-O (The Banana Boat Song),Harry Belafonte,1956,
115,Blinding Lights,The Weeknd,2019,
116,Yakety Yak,The Coasters,1958,
117,Crazy In Love,Beyoncé (feat. Jay-Z),2003,
118,What I've Done,LinkinPark,2007,
119,Respect,Aretha Franklin,1967,
120,Do Wah Diddy Diddy,Mandred Mann,1964,
121,Blurred Lines,"Robin Thicke, T.I. & Pharrell",2013,
122,Umbrella,"Rihanna Jay-Z",2007,
123,Congratulations,Cliff Richard,1968,
124,Barbra Streisand,Duck Sauce, 2010,
125,Dream Lover,Bobby Darin,1959,
126,Never Surrender,Corey Hart,1985,
127,We Like To Party!,Vengaboys,1998,
128,Born To Be Wild,Steppenwolf,1968,
129,Belive,Cher,1998,
130,Master Of Puppets,Metallica,1986,
131,Tom Sawyer,Rush,1981,
132,Mr. Brightside,The Killers,2003,
133,The Ketchup Song (Aserejé),Las Ketchup,2002,
134,Fast Car,Tracy Chapman,1988,
135,No Son Of Mine,Genesis,1991,
136,Crazy,Aerosmith,1994,
137,Don't Stop Belivin',Journey,1981,
138,Ghost,Justin Bieber,2022,
139,Domino Dancing,Pet Shop Boys,1988,
140,Sweet Dreams (Are Made Of This),Eurytmics,1983,
141,Bitter Sweet Symphony,The Verve,1997,
142,God Is A DJ,Faithless,1998,
143,Barbie Girl,Aqua,1997,
144,Wheel Of Fortune,Kay Starr,1951,
145,Torn,Natalie Imbruglia,1997,
146,The Loco-Motion,Little Eva,1962,
147,Bye Bye Love,The Everly Brothers,1957,
148,Drivers Licence,Olivia Rodrigo,2021,
149,Flowers,Miley Cyrus,2023,
150,I Love It,Icona Pop (feat. Charli XCX),2012,
151,Stressed Out,Twenty One Pilots,2015,
152,That Don't Impress Me Much,Shania Twain,1998,
153,Porcelain,Moby,1999,
154,"December, 1963 (Oh What A Night)",Frankie Valli & The Four Seasons,1975,
155,Sweet Home Alabama,Lynyrd Skynyrd,1974,
156,Señorita,Shawn Mendes & Camila Cabello,2019
157,1979,The Smashing Pumpkins,1995,
158,Heaven Is A Place On Earth,Belinda Carlisle,1987,
159,"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder,1970,
160,I Heard It through The Grapevine,Marvin Gaye,1968,
161,Have You Ever Seen The Rain?,Creedence Clearwater Revival,1971,
162,Disco Inferno,The Trammps,1976,
163,Shout,Tears For Fears,1984,
164,Hurt So Good,John Mellencamp,1982,
165,We Built This City,Starship,1985,
166,Wooly Bully, Sam The Sham & The Pharaohs,1965,
167,Viva La Vida, ColdPlay, 2008,
168,Faith, George Michael,1988,
169,What Is Love,Haddaway,1993,
170,Somebody That I Used To Know,Gotye (feat. Kimbra),2011,
171,Mercy,Duffy,2008,
172,I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,1987,
