Card#,Title,Artist,Year,URL
1,D'yers Mak'er,Led Zeppelin,1973,
2,Don't Forget Me (When I'm Gone),Glass Tiger,1986,
3,We Are Family,Sister Sledge,1979,
4,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Brian Hyland,1960,
5,Cheap Thrills,Sia,2015,
6,Get Lucky,Daft Punk (feat. Pharrell Williams & Nile Rodgers),2013,
7,Fallin',Alicia Keys,2001,
8,Girl You Know It's True,Milli Vanilli,1989,
9,New Orleans Is Sinking,The Tragically Hip,1989,
10,Waterloo,ABBA,1974,
11,Piece Of My Heart,Erma Franklin,1967,
12,Sweet Child O'Mine,Guns N' Roses,1987,
13,Rock You Like a Hurricane,Scorpions,1984,
15,Ice Ice Baby,Vanilla Ice,1990,
16,Call On Me,Eric Prydz,2004,
17,White Wedding,Billy Idol,1982,
18,With Or Without You,U2,1987,
19,Main Girl,Charlotte Cardin,2017,
20,Smoke Gets In Your Eyes,The Platters,1958,
21,Feel It Still,Portugal. The Man,2017,
22,Couting Stars,OneRepublic,2013,
23,Hit The Road Jack,Ray Charles,1961,
24,The Lazy Song,Bruno Mars,2011,
25,Informer,Snow,1992,
32,I Got You (I Feel Good),James Brown,1965,
34,School's Out,Alice Cooper,1972,
35,"Sugar, Sugar",The Archies, 1969,
38,Born To Be Alive,Patrick Hernandez,1978,
39,Heaven,Bryan Adams,1984,
44,My Heart Will Go On,Céline Dion,1997,
50,Get Busy,Sean Paul,2003,
51,Guajira Guantanamera,Joseíto Fernández,1929,
52,Don't Call Me Up,Mabel,2019,
54,I Love Rock 'N Roll,The Arrows,1975,
55,I'm A Believer,The Monkees,1966,
56,Somebody Like You,Keith Urban,2002,
58,Royals,Lorde,2012,
59,Ironic,Alanis Morissette,1995,
60,Wrecking Ball,Miley Cyrus,2013,
61,Mony Mony,Tommy James And The Shondells,1968,
62,I Can't Help Myself (Sugar Pier, Honey Bunch),1965,
70,Rich Girl,Hall & Oates,1977,
71,Uprising,Muse,2009,
73,Hotel California,Eagles,1976,
74,Johnny B. Goode,Chuck Berry,1958,
75,Maneater,Dary Hall & John Oates,1982,
